,id,长度,句数,被动,总词数,连副词
0,1202004779.txt,8042,92,0,3912,175
1,1212729203.txt,7542,74,1,4081,186
2,1212748856.txt,5256,65,0,2814,110
3,1202267037.txt,7345,78,5,3779,148
4,59364377.txt,17573,191,5,8927,311
5,1205949380.txt,16161,155,0,7659,307
6,62295361.txt,15323,140,5,8002,303
7,1202091283.txt,14354,115,0,4804,142
8,1200692433.txt,8341,79,1,4490,199
9,1205968131.txt,42029,428,8,22979,701
10,57632375.txt,3240,32,6,1738,98
11,1204661383.txt,24371,227,2,10013,338
12,62232243.txt,6352,75,0,3281,155
13,1204495872.txt,50241,493,4,25396,1088
14,1207695374.txt,0,0,0,0,0
15,1203241995.txt,442,0,0,168,0
16,1204791273.txt,19130,184,8,8357,232
17,1202164373.txt,13857,122,2,6084,237
18,38434651.txt,5233,91,2,2877,131
19,1212943719.txt,9574,100,2,5176,320
20,1203359903.txt,17183,156,2,8024,246
21,1213024660.txt,0,0,0,0,0
22,62375320.txt,15474,151,5,6920,283
23,1203183087.txt,28617,305,10,15135,556
24,1200588238.txt,3221,36,0,1635,52
25,1209637253.txt,0,0,0,0,0
26,1213176936.txt,7063,77,2,3766,181
27,60742495.txt,5280,52,4,2926,141
28,1209669040.txt,19997,212,7,9458,337
29,57870901.txt,285,3,0,121,1
30,1213019924.txt,11800,125,1,5976,228
31,1205913571.txt,5411,41,0,2867,123
32,1212751974.txt,18208,221,4,8727,297
33,59160832.txt,10068,136,1,5270,170
34,1209859704.txt,47373,483,10,24748,836
35,62237032.txt,13172,154,2,7194,278
36,1203242837.txt,0,0,0,0,0
37,1209793703.txt,32260,299,2,15683,514
38,1212768883.txt,11491,101,4,5139,198
39,1202116267.txt,9474,114,0,4955,208
40,1202219016.txt,13112,105,0,4816,187
41,63828215.txt,23936,308,11,13901,533
42,1213268024.txt,0,0,0,0,0
43,58943047.txt,4792,67,0,2656,136
44,57818722.txt,14009,97,7,6312,152
45,1206125338.txt,4271,60,0,2239,97
46,1212943435.txt,12442,122,1,5976,206
47,59229537.txt,26412,294,4,13619,522
48,1207394586.txt,7067,69,1,3836,177
49,1204801654.txt,8790,127,3,4775,187
50,1206056824.txt,2762,8,0,687,37
51,1207601247.txt,9771,107,3,5230,220
52,1209813545.txt,18950,170,15,9185,412
53,60496075.txt,15597,102,0,6147,240
54,1204484174.txt,34150,312,5,17053,446
55,1202123141.txt,8779,118,1,4707,174
56,1209874880.txt,5339,55,1,2741,106
57,59138388.txt,9771,140,5,5228,199
58,59305409.txt,6929,83,2,3562,151
59,62279559.txt,20464,116,1,8015,215
60,1203184214.txt,3973,64,0,1962,78
61,1204552866.txt,25749,197,2,9179,301
62,63928632.txt,4422,52,1,2391,105
63,1209867442.txt,12338,88,2,5155,207
64,1212965793.txt,15558,170,3,7730,280
65,1203389970.txt,5068,54,1,2571,103
66,1207430363.txt,38939,365,1,16587,426
67,63687074.txt,4162,63,4,2212,76
68,59405541.txt,5676,69,3,2978,142
69,1204554458.txt,11739,143,5,6287,278
70,1205931076.txt,3999,48,2,2134,76
71,1201721749.txt,8701,60,3,3583,109
72,1209152936.txt,9323,78,2,4049,135
73,1206472564.txt,28286,236,2,13812,436
74,1207645336.txt,27376,127,0,9640,253
75,1202113999.txt,35443,332,9,17336,477
76,1202821568.txt,57149,361,6,27799,616
77,1200866755.txt,10427,110,3,4537,186
78,1203298577.txt,17277,152,2,6345,231
79,63916613.txt,7523,97,1,3994,185
80,1200768684.txt,0,0,0,0,0
81,1209514954.txt,18523,210,8,9008,322
82,62121154.txt,6636,83,2,3503,183
83,59207384.txt,28036,291,12,14199,566
84,1212951790.txt,24740,325,1,13066,545
85,1203345265.txt,16008,204,3,8323,320
86,1206166040.txt,0,0,0,0,0
87,1206122525.txt,7524,92,2,3931,169
88,1209849973.txt,66535,0,0,11027,968
89,1200881472.txt,21322,198,5,10413,424
90,1204507155.txt,22157,234,5,11519,372
91,1207432440.txt,10521,140,0,5575,197
92,1207403740.txt,0,0,0,0,0
93,1213225019.txt,3140,36,0,1617,60
94,1206094095.txt,5739,68,2,2977,91
95,63788607.txt,0,0,0,0,0
96,1209786883.txt,6523,62,2,3475,138
97,1212767779.txt,20702,301,0,10820,333
98,1209488423.txt,6683,74,1,3540,152
99,1204554963.txt,15458,176,3,8080,254
100,1204496201.txt,6348,76,0,3214,130
101,1204066813.txt,7820,51,1,3200,85
102,1200921140.txt,7138,62,2,3428,125
103,62376306.txt,7879,101,0,4382,230
104,51088636.txt,3540,48,0,1867,79
105,1203174893.txt,10106,96,1,4617,190
106,1212978134.txt,7487,88,0,4057,178
107,1200840020.txt,5882,69,13,3080,134
108,1212651486.txt,43602,431,5,22060,774
109,1207693791.txt,8326,68,2,3421,126
110,1209840931.txt,9345,124,4,5052,195
111,1213167019.txt,9513,83,1,4530,166
112,63737074.txt,31255,280,5,13814,533
113,1207600462.txt,22895,218,3,10995,364
114,1206168981.txt,7315,78,4,3869,147
115,59795943.txt,32559,294,12,15715,406
116,1204628924.txt,8851,123,6,4665,156
117,63754482.txt,7390,83,1,3992,174
118,62288501.txt,5525,88,6,2945,132
119,1200040693.txt,7638,63,1,3236,139
120,1207543004.txt,8626,85,0,4033,150
121,1209725868.txt,4247,38,3,2046,64
122,1203419505.txt,6891,97,0,3767,160
123,1202180272.txt,13965,197,3,7698,317
124,1204547808.txt,25063,235,4,12544,439
125,1212944379.txt,19947,208,0,9652,332
126,62279628.txt,18858,226,2,8911,247
127,1202251223.txt,5323,70,2,2839,124
128,1209864328.txt,20858,214,3,8786,318
129,1202186459.txt,19328,227,5,9538,375
130,62421963.txt,5958,68,1,3081,137
131,1209465884.txt,20223,264,3,10644,387
132,1209793420.txt,8630,83,3,4297,167
133,62366185.txt,8656,104,3,4641,239
134,1209949310.txt,0,0,0,0,0
135,1213573460.txt,38820,344,1,19410,644
136,59215040.txt,6507,89,0,3253,128
137,1202114684.txt,14311,124,0,5654,194
138,51153548.txt,4501,72,6,2473,86
139,1200706677.txt,7038,91,4,3825,179
140,1213205534.txt,0,0,0,0,0
141,60683865.txt,18086,206,8,9507,366
142,1207419508.txt,11810,110,3,6265,214
143,62441842.txt,5803,53,0,3055,130
144,62414490.txt,5961,75,1,3166,122
145,1209840683.txt,71824,391,8,29999,919
146,62288708.txt,10547,121,6,5421,226
147,1202241416.txt,4486,50,0,2046,89
148,1203195860.txt,6705,80,0,3386,143
149,1202094141.txt,3301,42,3,1728,82
150,1203276166.txt,5388,69,2,2710,120
151,1204547763.txt,19775,165,2,7546,292
152,1205888081.txt,11892,136,4,6379,276
153,1206363140.txt,74081,693,9,36610,1304
154,1213106616.txt,7668,98,0,3952,170
155,1213179347.txt,15218,174,32,7555,236
156,1200861975.txt,5250,62,1,2539,92
157,1212743064.txt,15794,151,4,6953,228
158,1205138454.txt,30538,295,1,14701,473
159,59131199.txt,3626,40,0,1930,91
160,1207523184.txt,9220,96,1,4662,186
161,1212974459.txt,9314,64,0,4497,133
162,62314583.txt,19398,200,9,9202,273
163,1209474558.txt,8266,101,0,4228,179
164,62422940.txt,4,0,0,0,0
165,1207689635.txt,16087,199,3,8537,348
166,1204526602.txt,13767,99,0,5043,167
167,1213025427.txt,0,0,0,0,0
168,1209807077.txt,0,0,0,0,0
169,1205921788.txt,12740,145,3,6903,315
170,1202259963.txt,11888,164,8,5947,281
171,1204625980.txt,15292,184,4,7914,323
172,1207548135.txt,5966,85,0,3120,138
173,1207411210.txt,35444,428,3,17609,527
174,1207610477.txt,6535,91,3,3367,141
175,62298086.txt,13103,149,3,6515,257
176,60872517.txt,2865,43,1,1520,63
177,1212578767.txt,9752,28,0,2605,84
178,59154083.txt,10972,119,4,5926,275
179,1207877425.txt,53450,503,7,27208,946
180,57819687.txt,145,0,0,12,0
181,1207649515.txt,6760,94,2,3597,166
182,1207537512.txt,4555,56,0,2348,89
183,1209474869.txt,62768,682,10,31411,1009
184,1200761295.txt,48397,541,11,23975,671
185,63633005.txt,6926,84,4,3691,174
186,1206284133.txt,36310,288,1,17578,550
187,62366614.txt,8197,113,0,4346,144
188,59207812.txt,33019,380,19,16114,554
189,1205991740.txt,6102,76,0,3200,146
190,1212688570.txt,48589,496,10,25249,789
191,63733066.txt,43454,548,4,21407,526
192,1212704933.txt,13769,174,1,7200,266
193,1213061693.txt,18660,216,4,9654,318
194,1212709288.txt,15774,168,3,8524,387
195,1202266329.txt,5057,65,1,2750,114
196,1209656907.txt,7727,68,0,4192,175
197,1205947122.txt,0,0,0,0,0
198,1203335315.txt,15075,164,2,7477,345
199,1213269000.txt,4856,60,0,2554,117
200,1205335884.txt,29536,164,1,12876,286
201,60629618.txt,6314,72,1,3040,140
202,59131116.txt,7278,81,4,3925,148
203,1212921083.txt,21,0,0,10,0
204,1202251778.txt,36052,385,15,17566,553
205,1213049500.txt,5652,59,0,2978,127
206,1204617585.txt,15588,117,2,7061,313
207,1205956325.txt,14639,142,1,6286,193
208,62413109.txt,28581,257,2,12541,414
209,1203209324.txt,5171,64,3,2760,112
210,1209713183.txt,7636,95,2,4167,151
211,1206059942.txt,3748,53,0,1974,97
212,1204649849.txt,2265,32,0,1185,41
213,1213166402.txt,9929,101,0,4619,165
214,63929581.txt,5773,65,0,3151,153
215,60862840.txt,5592,85,3,2977,109
216,1209726245.txt,5022,67,8,2664,100
217,1204549237.txt,19808,275,4,10191,360
218,63645505.txt,16194,155,1,6654,192
219,1200805245.txt,15047,122,2,6783,259
220,1209874289.txt,4108,49,0,2078,90
221,1209878523.txt,4793,43,1,2551,117
222,1206234440.txt,3991,38,2,1968,78
223,1205978932.txt,50002,385,3,24670,697
224,1203316287.txt,25817,156,4,9257,347
225,1200763857.txt,9778,120,1,4883,211
226,1206010622.txt,7295,78,1,3411,150
227,1203221684.txt,14393,121,2,6334,205
228,1213028657.txt,10256,93,3,4796,155
229,1213108888.txt,312,0,0,112,0
230,1207552580.txt,12379,150,5,6439,225
231,1213272344.txt,60591,499,6,31259,972
232,49385757.txt,8708,104,4,4729,226
233,1204553848.txt,0,0,0,0,0
234,1204831870.txt,8493,118,1,4638,202
235,1202104396.txt,21933,237,2,10830,357
236,1206166978.txt,7664,77,1,3984,170
237,1213166859.txt,42938,289,4,21186,575
238,63742209.txt,15464,152,6,7639,272
239,1212837648.txt,17107,194,0,8522,309
240,1200863132.txt,7198,97,6,3957,177
241,1209698889.txt,12423,116,5,6157,212
242,1204549185.txt,52285,356,6,25241,604
243,63861184.txt,9637,94,3,4716,180
244,1207662615.txt,12181,127,1,6235,231
245,1209690602.txt,11423,145,3,5966,234
246,1212742861.txt,15990,193,2,7995,249
247,1203167761.txt,3659,37,1,1936,87
248,63847732.txt,9778,114,4,5139,197
249,59199685.txt,42162,414,4,20548,671
250,1204510717.txt,13199,144,1,6492,246
251,50432818.txt,9706,153,4,5333,217
252,1213339628.txt,128737,2,0,20492,2117
253,1209475016.txt,8735,82,1,4278,191
254,1200684445.txt,0,0,0,0,0
255,63723519.txt,10721,91,0,4120,154
256,1200757738.txt,9140,133,1,4766,170
257,1207544937.txt,9257,77,2,4110,144
258,1203243004.txt,0,0,0,0,0
259,1213265496.txt,9807,97,0,4669,168
260,1202035695.txt,7344,74,1,3637,125
261,1213137088.txt,18076,122,1,9186,231
262,1209818304.txt,8705,87,2,4278,159
263,59198671.txt,5918,70,1,3183,135
264,1209769584.txt,52173,478,12,26699,843
265,1213270610.txt,0,0,0,0,0
266,1212840977.txt,31867,136,0,10636,277
267,1205938264.txt,6894,78,2,3525,148
268,1209478815.txt,84694,145,0,20423,801
269,1202241221.txt,10844,132,4,5661,249
270,1203142360.txt,13144,153,1,6534,246
271,1202215758.txt,9839,93,1,4536,151
272,1202203160.txt,24082,246,7,11055,321
273,1203382302.txt,18776,190,4,9326,348
274,1207498379.txt,15513,205,5,7907,269
275,1209474536.txt,19467,186,3,10237,308
276,1209567430.txt,12225,129,1,6179,212
277,51427994.txt,6678,71,1,3434,137
278,63886329.txt,6260,83,1,3216,97
279,1213044756.txt,4139,50,1,2249,121
280,1203406223.txt,21275,246,6,9100,347
281,1200715147.txt,15279,170,3,7405,306
282,1202062796.txt,16383,152,1,7807,311
283,1204735011.txt,21649,198,4,11550,538
284,1214098594.txt,8781,56,2,3343,77
285,1204501147.txt,4031,49,2,2189,81
286,1213262549.txt,17483,186,5,8957,360
287,1203227095.txt,16559,182,8,8096,238
288,1203184944.txt,5230,90,0,2670,114
289,1209444028.txt,10507,189,4,5725,215
290,1204594254.txt,6390,72,2,3187,131
291,1213106972.txt,46973,428,6,24385,804
292,1203197328.txt,21693,230,3,10104,344
293,1200919151.txt,16988,153,9,8348,379
294,63720294.txt,20181,148,3,8895,273
295,1207427097.txt,7582,76,1,3863,171
296,1206129260.txt,3978,36,0,1931,83
297,1208034180.txt,40882,386,4,19943,710
298,1200756351.txt,36518,285,6,17477,523
299,1213218390.txt,6950,69,1,3500,122
300,60732600.txt,7235,79,1,3357,109
301,1203693302.txt,32383,315,8,16394,530
302,1205957535.txt,9537,85,0,4679,153
303,1209474823.txt,17814,164,3,7439,286
304,62236834.txt,62392,625,9,29608,970
305,1202088560.txt,9736,113,1,4479,191
306,1205969270.txt,15144,131,0,7628,264
307,1207665301.txt,0,0,0,0,0
308,1210454579.txt,39976,389,0,20318,614
309,1200742591.txt,15601,172,2,7333,237
310,60863139.txt,16532,191,4,8793,430
311,1209868894.txt,15687,146,0,6547,308
312,59305377.txt,8952,103,3,4776,200
313,1202137658.txt,22339,209,1,10883,403
314,1202205272.txt,6421,70,1,3337,142
315,1203402325.txt,12037,135,2,5909,199
316,1204666503.txt,7894,96,2,4099,160
317,1209519437.txt,14547,191,4,7605,271
318,1209738428.txt,5467,70,0,2984,148
319,1202094447.txt,5617,74,2,2902,141
320,62203332.txt,34770,428,2,16469,409
321,1200459698.txt,37721,349,7,16832,549
322,1204519172.txt,23770,204,2,9787,300
323,1212996896.txt,21375,191,5,11223,300
324,1202055074.txt,9560,94,2,4723,236
325,59144863.txt,3021,38,0,1631,84
326,1212854005.txt,5796,79,4,2989,121
327,1202180631.txt,12465,148,10,6244,236
328,1209723048.txt,17503,134,0,8378,364
329,57747408.txt,8215,105,15,4496,209
330,1209465977.txt,45094,516,2,22450,881
331,1204798465.txt,23475,251,1,11322,285
332,1212541139.txt,19865,201,4,9914,379
333,21890585.txt,4772,70,1,2596,122
334,1204543545.txt,5613,69,2,2895,114
335,1213018259.txt,30586,228,4,14700,481
336,1212884247.txt,146566,0,0,24103,2374
337,60678052.txt,4269,58,1,2196,98
338,1204529896.txt,8900,107,3,4538,153
339,1209853433.txt,14710,174,5,7249,313
340,1204480562.txt,34070,313,5,17070,453
341,1203283364.txt,24182,232,3,11894,387
342,1204645464.txt,6284,68,3,3318,125
343,1203316334.txt,18268,198,5,8745,337
344,1203197595.txt,8408,88,6,4303,159
345,1203335165.txt,14387,110,3,6136,285
346,1203427737.txt,4656,54,2,2519,95
347,1212942676.txt,9231,65,1,4414,184
348,1212809502.txt,34008,378,2,17406,694
349,1205964877.txt,12511,148,1,6623,260
350,1204567486.txt,5832,60,1,2984,113
351,1213100117.txt,2283,26,0,1228,56
352,62415195.txt,6477,84,1,3377,146
353,1207418567.txt,4496,44,0,2398,101
354,37041748.txt,5054,73,1,2804,111
355,1205941014.txt,17264,139,1,6371,214
356,1203177728.txt,26867,306,5,13949,432
357,60694858.txt,3436,48,0,1847,86
358,1207556772.txt,8903,67,0,3412,138
359,60640498.txt,7672,90,0,3380,115
360,62298064.txt,6867,86,1,3643,128
361,59207626.txt,36694,279,2,17094,553
362,1203418192.txt,12044,110,1,5183,184
363,60742562.txt,6069,81,2,3197,105
364,1207609237.txt,10343,122,11,5461,183
365,1207668607.txt,10564,125,3,5005,252
366,1207599395.txt,33235,247,1,17301,413
367,1212710863.txt,18175,139,5,6757,272
368,1202098543.txt,14091,162,4,6643,247
369,1203173974.txt,1705,29,0,935,50
370,62273085.txt,3178,32,1,1735,80
371,1209437949.txt,67500,633,7,32480,980
372,1209465180.txt,64832,486,9,32057,785
373,1203333816.txt,10558,98,3,5338,258
374,1204807658.txt,13688,120,0,4882,192
375,1204806562.txt,1348,17,0,735,35
376,1203133760.txt,10637,83,1,5188,196
377,1202240175.txt,0,0,0,0,0
378,1207648659.txt,13431,194,1,7251,278
379,1200801378.txt,4801,61,0,2557,99
380,1212566972.txt,13764,161,2,6362,215
381,1204545864.txt,41675,473,4,22572,933
382,57727075.txt,30193,327,11,14642,530
383,1209816830.txt,8711,98,3,4402,168
384,1203363199.txt,6827,52,1,2767,76
385,63663482.txt,9232,114,4,4661,161
386,1209444431.txt,20537,253,6,10928,462
387,1204470328.txt,6034,76,1,3229,146
388,1203196842.txt,67903,637,8,35695,1442
389,1212939820.txt,12295,128,1,5891,211
390,1206119344.txt,7980,90,0,4068,172
391,1203375131.txt,12410,120,3,5824,269
392,1213061047.txt,9898,123,4,5432,206
393,1207528534.txt,29241,311,3,14823,525
394,62298016.txt,40702,432,12,21092,687
395,37079607.txt,4942,68,0,2654,134
396,1205900557.txt,39441,284,2,16766,511
397,1203246324.txt,6807,80,6,3646,115
398,1200863497.txt,28179,268,1,9846,327
399,60752016.txt,11525,107,2,5560,218
400,1207393363.txt,16449,202,5,8182,292
401,1213108022.txt,12599,108,4,6899,303
402,1204663303.txt,20239,312,5,10840,382
403,1204558702.txt,13438,124,3,6496,251
404,1205954595.txt,8558,116,0,4466,146
405,1206094601.txt,6357,88,6,3344,131
406,1204666070.txt,14982,117,2,6160,250
407,1212920628.txt,0,0,0,0,0
408,1207391300.txt,29849,398,6,15280,591
409,63753604.txt,14827,176,7,7773,343
410,1202250521.txt,8522,89,1,3956,160
411,1207660726.txt,19585,155,1,7688,293
412,1209847123.txt,16843,157,5,7800,418
413,62278623.txt,42911,664,9,21366,817
414,1208345562.txt,43,0,0,0,0
415,1213263250.txt,22138,222,3,10956,378
416,1204649852.txt,7314,69,0,3790,130
417,1200694621.txt,10746,164,6,5807,189
418,1202076017.txt,4724,51,2,2365,105
419,50785947.txt,4881,68,3,2654,115
420,1207546526.txt,6636,67,1,2734,64
421,60763687.txt,8239,102,0,4445,208
422,1206105727.txt,40587,317,4,20411,606
423,1209818268.txt,11861,79,3,4485,184
424,63688493.txt,5424,73,0,2900,129
425,1204848158.txt,37428,492,11,18944,688
426,1203406452.txt,14152,142,2,5996,200
427,60741633.txt,3325,32,1,1755,84
428,1213178568.txt,29145,257,13,13836,527
429,1209855723.txt,18942,184,3,9862,362
430,62305994.txt,4934,67,0,2637,98
431,1203122646.txt,0,0,0,0,0
432,57848255.txt,7426,121,3,3866,193
433,1206105320.txt,17120,149,0,6753,225
434,1209873700.txt,5218,69,1,2774,105
435,50634985.txt,0,0,0,0,0
436,1205932024.txt,27081,291,6,13849,558
437,1200804918.txt,14420,177,1,7187,269
438,1204422034.txt,6458,77,1,3491,190
439,1206078571.txt,4323,54,1,2103,73
440,1212919663.txt,40320,413,6,20232,604
441,1200866260.txt,13275,174,2,7278,318
442,1213051200.txt,25529,247,5,12647,407
443,1209386263.txt,40670,473,7,21487,770
444,60769715.txt,45160,414,8,20198,742
445,1204821782.txt,11262,101,1,4576,154
446,1212756474.txt,23262,284,2,11917,446
447,1207656449.txt,6979,76,0,3738,122
448,1213140988.txt,109400,0,0,17940,1534
449,1214098505.txt,6919,63,2,2839,66
450,1202115712.txt,3607,51,0,1870,68
451,51612053.txt,4236,58,2,2363,112
452,51875587.txt,6685,70,1,3649,181
453,1200935527.txt,5767,73,1,2730,134
454,1209701628.txt,0,0,0,0,0
455,62259050.txt,12820,113,8,5820,181
456,1205921481.txt,22142,280,2,10954,335
457,1203243168.txt,13457,148,0,6966,278
458,1209850430.txt,31149,268,10,15536,403
459,1212869881.txt,15993,135,1,6660,238
460,1204486725.txt,11124,99,0,4620,199
461,1204743573.txt,7665,22,0,2000,75
462,1207688273.txt,20979,233,1,10124,365
463,1202264724.txt,33177,380,2,16985,519
464,1200831913.txt,936,9,0,426,1
465,62341524.txt,8512,77,3,4374,167
466,51612176.txt,5265,109,1,2910,149
467,1206078297.txt,6800,64,1,3507,157
468,22752524.txt,4236,31,0,1956,92
469,1207606893.txt,11081,87,2,5087,168
470,1209698790.txt,7006,68,2,3403,138
471,63841705.txt,10903,137,3,5845,250
472,1207663223.txt,16816,159,1,7809,266
473,63720069.txt,4615,59,0,2424,144
474,1200766926.txt,4297,68,0,2242,93
475,1207663325.txt,21413,243,0,10341,353
476,1207454099.txt,9635,125,4,5126,185
477,1213199064.txt,10233,113,2,5234,169
478,1200899465.txt,6176,74,3,3372,137
479,1204808858.txt,9391,118,3,4785,168
480,1206453278.txt,7508,52,2,3110,65
481,1204804415.txt,30039,281,17,12521,432
482,1207448099.txt,6549,78,0,3390,127
483,1213024708.txt,17989,179,0,7753,314
484,57826122.txt,3940,49,1,2176,79
485,1209384760.txt,8868,85,1,4327,181
486,1206114427.txt,11542,145,2,5855,234
487,62241236.txt,42261,447,10,18055,573
488,1206073872.txt,24480,304,9,12258,454
489,1207620734.txt,11853,141,6,5609,187
490,1204545444.txt,20357,258,2,9938,312
491,1205140746.txt,2657,60,0,1509,64
492,1204066619.txt,6944,52,1,2850,80
493,1203133925.txt,27285,236,3,13489,447
494,1203242782.txt,6408,79,2,3381,145
495,1207607583.txt,41728,413,4,20079,688
496,1206047611.txt,6677,87,1,3530,156
497,1207275159.txt,8809,51,1,3342,70
498,63912807.txt,10896,105,0,5469,199
499,1213167434.txt,0,0,0,0,0
500,1204049418.txt,25546,139,3,10090,324
501,63883738.txt,8381,107,4,4623,197
502,59337937.txt,11779,118,4,6302,289
503,62351637.txt,7363,83,1,3348,168
504,1207586804.txt,13312,143,0,6617,199
505,1209480861.txt,28031,202,12,11668,368
506,59269839.txt,4246,66,0,2241,83
507,1200767509.txt,5160,97,0,2768,107
508,1203223835.txt,0,0,0,0,0
509,1204822398.txt,6350,60,5,3055,120
510,1206020135.txt,16652,147,5,7196,280
511,63739702.txt,13905,169,1,7435,278
512,1203316270.txt,0,0,0,0,0
513,1200730742.txt,9579,93,0,4700,219
514,1212548217.txt,13061,151,0,6640,242
515,22863332.txt,12034,106,7,4642,143
516,1203240865.txt,5516,63,0,2960,119
517,1209412619.txt,38799,402,6,19927,683
518,1213202993.txt,8010,91,0,4312,180
519,1207543564.txt,16938,214,3,8897,359
520,1213230389.txt,34784,356,9,17694,638
521,1207431480.txt,41361,257,3,20883,485
522,1203418288.txt,24946,254,6,11984,448
523,59043400.txt,5600,62,0,3000,154
524,1209365731.txt,36752,307,2,18380,454
525,59206743.txt,4550,53,1,2426,98
526,1209495361.txt,4719,60,0,2230,90
527,1206062368.txt,10105,90,0,4569,173
528,1200788441.txt,0,0,0,0,0
529,1213159043.txt,12028,151,5,6552,263
530,1204824606.txt,37262,394,8,19177,677
531,59199435.txt,8493,105,3,4785,254
532,1206120348.txt,6938,96,1,3784,170
533,63752600.txt,13351,132,2,5417,209
534,1205981276.txt,53879,364,23,24386,733
535,59234986.txt,12374,133,3,6372,309
536,1200872855.txt,8379,52,3,3206,102
537,63973422.txt,29890,438,27,16616,897
538,1203183002.txt,0,0,0,0,0
539,1207411506.txt,24992,224,3,10478,329
540,1202078852.txt,0,0,0,0,0
541,1207452584.txt,22709,284,3,11545,503
542,1206072805.txt,11894,126,4,5814,179
543,1207637812.txt,24193,305,13,12326,395
544,1213135740.txt,6115,71,0,3104,141
545,1212706199.txt,13102,145,1,6800,263
546,60913452.txt,11150,160,6,5834,233
547,1207457845.txt,5897,65,1,3155,112
548,1204479035.txt,7826,90,4,4078,206
549,1200810158.txt,24694,285,8,11550,470
550,1204616987.txt,45393,454,19,22179,829
551,1203428448.txt,7010,79,4,3826,144
552,1212670245.txt,16561,182,6,8460,317
553,1212979744.txt,51155,351,14,25279,405
554,59353405.txt,3736,44,0,1918,84
555,1202137723.txt,9747,102,0,5158,233
556,1207655754.txt,8026,63,1,3344,126
557,1209703762.txt,6624,66,0,3470,152
558,63602378.txt,10902,108,2,5822,212
559,1209756057.txt,0,0,0,0,0
560,1202098126.txt,0,0,0,0,0
561,1202078843.txt,24279,237,7,12157,404
562,62367412.txt,11402,82,0,5386,194
563,1212973508.txt,16038,172,9,8020,255
564,50642405.txt,5824,92,0,2954,114
565,1206049349.txt,28167,313,7,14425,461
566,1213099686.txt,0,0,0,0,0
567,59329834.txt,0,0,0,0,0
568,1200733346.txt,13321,193,4,6887,205
569,1207620927.txt,4608,54,1,2439,111
570,57692096.txt,8625,82,3,4617,198
571,1203298651.txt,8510,108,0,4270,193
572,57632900.txt,6714,95,0,3651,178
573,1200728855.txt,59319,438,7,28455,721
574,1207641200.txt,28485,299,7,15241,627
575,62391945.txt,16012,180,5,7658,348
576,1209453520.txt,11145,118,0,5436,213
577,1204484723.txt,10369,72,1,4055,144
578,60594394.txt,17001,155,1,7111,306
579,57547233.txt,3760,53,0,1891,82
580,62331697.txt,21408,186,4,9783,322
581,1203236415.txt,26024,293,4,12778,475
582,1213267945.txt,205804,0,0,34110,3268
583,38569998.txt,4461,51,0,2391,89
584,60890991.txt,11422,86,9,4998,138
585,1200770041.txt,4499,36,2,2289,66
586,1201827601.txt,35923,372,14,16384,555
587,1200813621.txt,10148,107,6,5136,164
588,1209818815.txt,8807,102,0,4736,171
589,50771586.txt,5227,66,1,2778,108
590,1203301574.txt,20490,155,3,8054,252
591,62345733.txt,13890,163,0,7411,306
592,1204702023.txt,9028,130,2,4851,201
593,1213148174.txt,0,0,0,0,0
594,1212924444.txt,0,0,0,0,0
595,1200769388.txt,24519,259,0,10715,316
596,1201921712.txt,13379,128,0,5857,243
597,1200743563.txt,12337,143,2,6401,297
598,1209468098.txt,9124,112,3,4629,228
599,1205783841.txt,6718,61,1,3034,91
600,1207413903.txt,11428,133,7,5552,191
601,59271264.txt,3168,26,1,1627,85
602,1209456698.txt,51499,460,0,25916,835
603,1203246823.txt,8689,78,1,4311,169
604,59254380.txt,13303,117,2,5670,231
605,1203360237.txt,11559,99,0,4824,183
606,1213048062.txt,22381,199,9,9603,298
607,62389958.txt,10887,108,27,5128,237
608,50604796.txt,6652,102,1,3764,175
609,1201850805.txt,15042,107,0,6622,229
610,1205962134.txt,15533,143,2,7679,231
611,1206126221.txt,7845,93,0,4148,153
612,1203159431.txt,6379,64,1,3468,145
613,1209669532.txt,20278,241,0,10554,347
614,1212810889.txt,37892,307,2,18440,550
615,1209841277.txt,15401,126,4,6942,285
616,1207660098.txt,7348,95,0,3795,173
617,1206070763.txt,3135,27,0,1709,50
618,1212710615.txt,27139,248,2,11277,397
619,1202137757.txt,7601,104,1,4066,136
620,62393186.txt,20710,214,6,9598,322
621,59137011.txt,11522,131,9,6256,281
622,1200834431.txt,15258,122,4,6292,196
623,1204557841.txt,17067,195,1,8108,288
624,1204801090.txt,10167,112,1,5486,191
625,1204641621.txt,10789,106,3,4858,152
626,1202039113.txt,10465,102,3,5359,267
627,1200772069.txt,38805,211,6,15053,367
628,60751056.txt,6541,77,3,3443,133
629,1212977374.txt,14840,181,0,7926,250
630,60922627.txt,20290,146,3,8074,307
631,1206060817.txt,13180,145,3,6735,263
632,1200934937.txt,34945,328,1,16468,507
633,1207559051.txt,24837,248,2,12509,344
634,60732908.txt,5646,73,1,3052,112
635,1209463544.txt,7877,96,3,4107,181
636,1207347660.txt,4047,48,0,2131,79
637,1203275367.txt,10693,117,1,4914,149
638,1209841506.txt,33170,311,5,16783,651
639,1206095493.txt,4522,44,0,2412,117
640,1200865500.txt,9044,86,1,3631,135
641,63855750.txt,20079,162,0,8220,297
642,1203174702.txt,27956,271,12,13175,464
643,1209475164.txt,29080,270,2,13631,615
644,1202140225.txt,5621,75,2,2877,136
645,1209826734.txt,37444,368,11,18356,587
