,id,长度,句数,被动,总词数,连副词
2226,1209810721.txt,123020,0,0,19975,1890
2227,1212635802.txt,43486,309,3,19094,494
2228,1203372592.txt,7825,94,2,4335,176
2229,1209848737.txt,0,0,0,0,0
2230,1205913465.txt,12456,111,9,5590,184
2231,1204374059.txt,4414,61,0,2321,119
2232,1204485308.txt,19399,164,14,10237,293
2233,1207547786.txt,22638,204,2,10560,361
2234,1206163718.txt,0,0,0,0,0
2235,59091283.txt,6399,86,2,3008,100
2236,1204511240.txt,8897,92,1,4349,182
2237,1209475701.txt,7203,71,1,3877,181
2238,1212727248.txt,19042,228,0,9223,420
2239,60910718.txt,6126,82,2,3186,178
2240,1213101971.txt,10189,89,2,5119,165
2241,1200645690.txt,4742,53,0,2535,85
2242,59144784.txt,4068,47,0,2175,101
2243,62279155.txt,18993,226,2,8922,246
2244,23158968.txt,10527,108,14,4935,186
2245,1203346066.txt,4738,52,1,2393,107
2246,62305941.txt,18796,224,3,8293,358
2247,1207586099.txt,22961,310,3,11385,331
2248,1202229283.txt,7295,92,0,3569,132
2249,59199485.txt,7147,72,3,3566,158
2250,1213137293.txt,10725,93,2,5433,200
2251,63829138.txt,16657,175,5,8493,309
2252,1200757859.txt,3414,48,0,1858,85
2253,1209453017.txt,6772,81,1,3490,159
2254,1208354668.txt,891,3,6,336,3
2255,62404902.txt,14241,172,6,6900,249
2256,1200904100.txt,4988,62,0,2557,138
2257,1208006802.txt,0,0,0,0,0
2258,1204551045.txt,378,3,0,164,8
2259,63673344.txt,12081,115,3,5823,265
2260,1200784855.txt,4987,63,0,2643,100
2261,63766090.txt,6004,62,1,3281,121
2262,1209656494.txt,8026,90,0,4149,146
2263,59096227.txt,4241,49,0,2273,85
2264,1203357754.txt,7630,83,0,3760,160
2265,1207609170.txt,35701,394,9,17713,575
2266,62232992.txt,6939,86,3,3701,121
2267,59165909.txt,9617,116,3,5150,273
2268,1213173986.txt,34229,321,2,17452,417
2269,62285479.txt,16821,171,4,6654,245
2270,62303421.txt,6255,102,1,3270,128
2271,60724419.txt,48313,405,5,20637,688
2272,1209776686.txt,7823,97,8,4097,112
